City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saskylakh,71.92,114.08,33.33,97,75,3.94,RU,1589678202
Ilulissat,69.22,-51.1,30.2,100,0,3.36,GL,1589678030
Namatanai,-3.67,152.43,86.38,69,13,6.46,PG,1589678203
Coahuayana Viejo,18.73,-103.68,86.0,25,5,11.41,MX,1589678203
Albany,42.6,-73.97,62.26,48,54,2.48,US,1589678203
Lubartów,51.46,22.61,43.92,93,0,7.83,PL,1589678203
Lebu,-37.62,-73.65,57.52,96,60,5.01,CL,1589678203
Balsas,-7.53,-46.04,76.73,74,11,2.98,BR,1589678204
Aklavik,68.22,-135.01,24.8,79,90,11.41,CA,1589678204
Cherskiy,68.75,161.3,53.29,40,0,10.69,RU,1589678204
Benghazi,32.12,20.07,81.46,32,0,10.0,LY,1589678204
Airai,-8.93,125.41,70.2,86,19,4.92,TL,1589678046
Lohfelden,51.27,9.53,46.83,70,75,3.36,DE,1589678205
Portsmouth,50.8,-1.09,51.84,73,0,6.64,GB,1589678205
Atuona,-9.8,-139.03,81.18,78,20,17.43,PF,1589678205
New Norfolk,-42.78,147.06,55.67,78,19,1.01,AU,1589678205
Ushuaia,-54.8,-68.3,41.0,80,75,5.3,AR,1589678109
Busselton,-33.65,115.33,46.0,98,100,8.66,AU,1589678001
Saint-Augustin,51.23,-58.65,35.53,86,36,1.3,CA,1589678206
Bandarbeyla,9.49,50.81,82.63,80,0,23.8,SO,1589678110
Buala,-8.14,159.59,87.4,67,37,5.28,SB,1589678049
Kutum,14.2,24.67,73.67,18,26,5.5,SD,1589678207
Bratsk,56.13,101.61,46.4,42,100,4.47,RU,1589678207
Upernavik,72.79,-56.15,29.73,97,7,10.25,GL,1589678062
Poum,-20.23,164.02,76.03,72,2,8.32,NC,1589678207
Okha,53.57,142.95,36.77,82,18,15.26,RU,1589678054
Rikitea,-23.12,-134.97,76.98,85,100,11.01,PF,1589678012
Nokaneng,-19.67,22.27,58.15,34,0,5.88,BW,1589678208
Deputatsky,69.3,139.9,30.02,98,99,6.67,RU,1589678208
Ban Phaeo,13.59,100.11,82.99,79,100,1.01,TH,1589678208
Kostyantynivka,48.53,37.71,44.64,91,0,7.81,UA,1589678209
Coral Springs,26.27,-80.27,74.44,88,40,8.05,US,1589677414
North Battleford,52.78,-108.28,74.75,19,1,19.46,CA,1589678117
Tuktoyaktuk,69.45,-133.04,26.6,86,90,14.99,CA,1589678043
Saint George,37.1,-113.58,87.67,14,1,9.17,US,1589678209
Torbay,47.67,-52.73,31.06,100,75,4.7,CA,1589678210
Waterloo,43.47,-80.52,55.47,71,75,8.05,CA,1589678065
Harper,4.38,-7.72,80.53,86,73,6.8,LR,1589678210
Atasū,48.68,71.64,59.47,66,62,4.52,KZ,1589678210
Punta Arenas,-53.15,-70.92,39.96,86,75,16.11,CL,1589678211
Kavaratti,10.57,72.64,85.48,79,94,14.54,IN,1589678211
Khatanga,71.97,102.5,39.36,83,0,15.03,RU,1589678086
Longyearbyen,78.22,15.64,35.6,69,6,12.75,SJ,1589678034
